region,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
Central,Female,High School or Below,425462.07,11904.0,61.0,2,Personal Auto,Two-Door Car,292.8
North West,Female,College,898285.04,43490.0,114.0,4,Corporate Auto,SUV,174.588413
West Region,Male,High School or Below,786816.6,57340.0,67.0,0,Corporate Auto,Four-Door Car,159.391681
West Region,Male,College,770424.87,49088.0,97.0,0,Corporate Auto,Four-Door Car,698.4
Central,Male,Master,1055217.0,47761.0,131.0,0,Personal Auto,SUV,232.711071
East,Female,College,1604510.95,0.0,65.0,0,Personal Auto,Two-Door Car,163.046956
Central,Male,Bachelor,873783.75,61281.0,110.0,0,Personal Auto,SUV,79.865605
Central,Male,Bachelor,545489.07,0.0,82.0,1,Corporate Auto,Two-Door Car,393.6
Central,Male,Bachelor,770528.33,25290.0,66.0,0,Personal Auto,Four-Door Car,382.085897
Central,Female,High School or Below,703926.24,24239.0,88.0,0,Personal Auto,Four-Door Car,48.348319
West Region,Male,Bachelor,883808.56,82664.0,114.0,3,Personal Auto,SUV,133.425609
Central,Male,Bachelor,873352.73,83210.0,110.0,0,Personal Auto,Sports Car,528.0
North West,Female,Bachelor,959747.48,38736.0,81.0,0,Personal Auto,Two-Door Car,561.414794
West Region,Male,College,450666.02,0.0,66.0,0,Personal Auto,Four-Door Car,316.8
North West,Male,College,1785797.23,55437.0,64.0,1,Personal Auto,Four-Door Car,445.287788
East,Male,Bachelors,249780.82,68041.0,6464.0,0,Personal Auto,Two-Door Car,165.570243
North West,Male,Master,542613.62,0.0,71.0,0,Corporate Auto,Four-Door Car,407.99684
West Region,Female,High School or Below,799814.38,29066.0,100.0,0,Personal Auto,SUV,844.229478
Central,Male,Bachelor,289762.07,54337.0,72.0,0,Personal Auto,Four-Door Car,345.6
North West,Female,High School or Below,1159950.22,67616.0,96.0,0,Personal Auto,Four-Door Car,340.306584
West Region,Female,Bachelor,1514793.06,41082.0,63.0,0,Personal Auto,Two-Door Car,106.647493
East,Female,High School or Below,543576.78,0.0,10202.0,0,Personal Auto,Four-Door Car,626.116259
Central,Female,Master,272535.64,36650.0,69.0,1,Personal Auto,Four-Door Car,56.60333
North West,Female,College,1329771.23,50631.0,112.0,4,Special Auto,SUV,784.65781
West Region,Male,College,992704.97,19592.0,92.0,0,Personal Auto,Four-Door Car,441.6
East,Female,High School or Below,1777154.9,0.0,114.0,0,Personal Auto,Two-Door Car,547.2
Central,Female,College,1826927.02,55761.0,115.0,0,Personal Auto,Sports Car,86.27772
West Region,Female,College,272221.07,17576.0,71.0,0,Special Auto,Four-Door Car,398.502948
West Region,Female,Bachelor,708321.24,41449.0,89.0,0,Personal Auto,Four-Door Car,63.516572
West Region,Female,Bachelor,1017971.7,14290.0,271.0,0,Personal Auto,Luxury Vehicle,1300.8
Central,Female,College,588950.91,62007.0,73.0,0,Personal Auto,Four-Door Car,120.015609
Central,Male,High School or Below,1577139.34,21921.0,206.0,0,Corporate Auto,Luxury Vehicle,1254.137899
Central,Female,Bachelor,528817.33,42621.0,66.0,0,Personal Auto,Four-Door Car,316.8
North West,Male,College,2758055.4,0.0,87.0,1,Personal Auto,Four-Door Car,417.6
East,Male,High School or Below,777853.23,63786.0,196.0,0,Corporate Auto,Luxury Vehicle,798.002689
West Region,Female,High School or Below,734186.13,0.0,104.0,3,Personal Auto,Sports Car,82.041684
West Region,Female,High School or Below,791919.7,82877.0,99.0,1,Personal Auto,Two-Door Car,22.819088
Central,Male,College,216387.02,0.0,63.0,0,Corporate Auto,Two-Door Car,302.4
Central,Male,High School or Below,978780.88,10475.0,88.0,1,Personal Auto,Two-Door Car,422.4
North West,Female,High School or Below,520764.08,21952.0,66.0,0,Personal Auto,Four-Door Car,316.8
North West,Female,Bachelor,2114727.72,49721.0,132.0,0,Corporate Auto,Sports Car,639.971388
West Region,Male,College,1228076.66,88340.0,102.0,0,Personal Auto,Two-Door Car,489.6
West Region,Female,College,244139.42,0.0,65.0,0,Personal Auto,Four-Door Car,312.0
North West,Male,Bachelor,653556.06,0.0,65.0,0,Corporate Auto,Four-Door Car,468.0
East,Female,College,920659.83,24589.0,82.0,0,Personal Auto,Two-Door Car,511.497882
West Region,Female,Bachelor,411858.86,69379.0,103.0,0,Personal Auto,Two-Door Car,494.4
Central,Female,Bachelor,483820.9,73769.0,61.0,2,Personal Auto,Four-Door Car,239.540223
West Region,Female,College,462554.81,66670.0,114.0,0,Personal Auto,SUV,518.180364
Central,Male,Bachelor,1404210.3,88854.0,118.0,0,Personal Auto,Two-Door Car,715.252366
North West,Male,Bachelor,754661.35,31266.0,193.0,0,Corporate Auto,Luxury Vehicle,926.4
West Region,Female,High School or Below,251459.2,43860.0,65.0,0,Personal Auto,Four-Door Car,156.124914
West Region,Male,Bachelor,517035.84,89284.0,133.0,2,Corporate Auto,SUV,402.070719
North West,Male,College,1391737.72,67267.0,89.0,0,Corporate Auto,Four-Door Car,94.814032
West Region,Female,High School or Below,1131813.08,79270.0,95.0,3,Personal Auto,Four-Door Car,456.0
North West,Male,Bachelor,427636.36,36692.0,109.0,1,Personal Auto,Four-Door Car,523.2
North West,Female,High School or Below,432224.03,0.0,119.0,0,Personal Auto,SUV,571.2
West Region,Female,College,800230.83,0.0,107.0,0,Corporate Auto,SUV,513.6
Central,Male,College,388545.64,0.0,105.0,0,Corporate Auto,Four-Door Car,504.0
North West,Male,College,447177.82,0.0,135.0,0,Personal Auto,SUV,972.0
West Region,Female,High School or Below,849635.28,44624.0,71.0,1,Special Auto,Four-Door Car,73.883044
Central,Female,College,2250088.35,0.0,71.0,0,Corporate Auto,Four-Door Car,340.8
Central,Female,Master,1630196.76,19614.0,85.0,0,Personal Auto,Two-Door Car,574.024018
North West,Female,College,231973.59,0.0,64.0,0,Personal Auto,Four-Door Car,632.715382
Central,Male,College,871704.98,83846.0,74.0,3,Special Auto,Four-Door Car,355.2
East,Male,College,286011.17,51159.0,72.0,0,Personal Auto,Four-Door Car,4.238626
West Region,Male,College,245340.83,83772.0,62.0,0,Personal Auto,Two-Door Car,42.248087
Central,Male,College,598977.39,66839.0,154.0,0,Personal Auto,Sports Car,739.2
Central,Female,College,2498022.55,88440.0,70.0,0,Personal Auto,Two-Door Car,27.145151
Central,Female,Master,748263.95,25666.0,63.0,2,Personal Auto,Four-Door Car,270.002766
North West,Female,High School or Below,245757.6,52926.0,61.0,0,Personal Auto,Four-Door Car,292.8
Central,Female,Bachelor,237974.12,0.0,67.0,0,Personal Auto,Four-Door Car,494.946438
East,Female,Bachelor,828696.44,40001.0,70.0,0,Personal Auto,Four-Door Car,142.567008
West Region,Male,College,239391.54,0.0,70.0,0,Personal Auto,Four-Door Car,425.266308
North West,Male,College,465715.95,18024.0,65.0,0,Personal Auto,Two-Door Car,312.0
North West,Female,College,1319792.89,0.0,68.0,3,Personal Auto,Four-Door Car,326.4
North West,Female,Bachelor,280391.67,23220.0,74.0,0,Personal Auto,Four-Door Car,251.334247
West Region,Female,High School or Below,864650.41,64125.0,108.0,0,Personal Auto,SUV,369.818708
North West,Female,College,742587.06,58042.0,62.0,0,Corporate Auto,Four-Door Car,161.419528
North West,Female,High School or Below,452873.74,90034.0,112.0,0,Corporate Auto,SUV,537.6
Central,Male,High School or Below,222707.28,27972.0,61.0,0,Special Auto,Four-Door Car,292.8
West Region,Female,High School or Below,729294.88,0.0,65.0,0,Personal Auto,Four-Door Car,312.0
Central,Male,Bachelor,318435.52,50989.0,80.0,0,Corporate Auto,Four-Door Car,255.999709
Central,Female,Bachelor,1131520.37,11885.0,101.0,0,Special Auto,Four-Door Car,484.8
West Region,Female,Bachelor,253070.51,89451.0,63.0,0,Special Auto,Four-Door Car,61.769564
North West,Male,Bachelor,1836155.53,0.0,182.0,0,Personal Auto,Luxury Vehicle,1310.4
East,Male,Bachelor,864153.0,78904.0,109.0,0,Personal Auto,SUV,250.001424
Central,Male,Doctor,327853.19,70247.0,83.0,1,Personal Auto,Four-Door Car,141.799422
Central,Male,High School or Below,527198.21,32653.0,67.0,0,Personal Auto,Two-Door Car,321.6
East,Male,High School or Below,376363.77,93595.0,97.0,4,Special Auto,Four-Door Car,49.797016
West Region,Male,Master,1395556.96,90279.0,115.0,0,Personal Auto,SUV,372.175592
North West,Female,College,500152.75,0.0,72.0,0,Personal Auto,Four-Door Car,542.14385
West Region,Male,Bachelor,708283.04,53310.0,189.0,3,Personal Auto,Luxury Vehicle,1360.8
West Region,Male,College,761948.28,0.0,105.0,0,Personal Auto,Four-Door Car,504.0
North West,Female,Bachelor,1255088.2,22234.0,160.0,0,Personal Auto,SUV,768.0
East,Female,High School or Below,3219660.04,91375.0,99.0,0,Personal Auto,Two-Door Car,72.632934
Central,Female,High School or Below,679377.41,22250.0,86.0,0,Personal Auto,Two-Door Car,720.601429
North West,Male,Bachelor,527231.97,0.0,80.0,0,Personal Auto,Four-Door Car,576.0
North West,Female,Doctor,626534.33,0.0,84.0,1,Personal Auto,Four-Door Car,481.025786
West Region,Female,High School or Below,854758.61,51179.0,71.0,0,Corporate Auto,Four-Door Car,466.176731
West Region,Male,Bachelor,278742.37,38667.0,72.0,0,Personal Auto,Four-Door Car,159.266473
West Region,Female,Master,462680.11,79487.0,114.0,0,Corporate Auto,SUV,547.2
Central,Female,Doctor,866336.4,67763.0,107.0,2,Personal Auto,Four-Door Car,41.283167
Central,Male,High School or Below,387222.22,0.0,62.0,2,Corporate Auto,Four-Door Car,503.808329
North West,Female,College,517081.15,0.0,71.0,0,Corporate Auto,Four-Door Car,859.599411
West Region,Female,Master,896028.02,71943.0,112.0,0,Corporate Auto,SUV,305.653785
North West,Female,College,547183.43,53526.0,68.0,0,Personal Auto,Four-Door Car,278.902846
North West,Male,College,3493100.17,35005.0,295.0,0,Personal Auto,Luxury Vehicle,1416.0
West Region,Male,College,262039.23,24721.0,67.0,0,Personal Auto,Four-Door Car,139.963594
East,Male,College,1906949.95,0.0,102.0,2,Personal Auto,Four-Door Car,734.4
Central,Male,Master,575744.23,88997.0,72.0,0,Personal Auto,Four-Door Car,174.041566
Central,Male,Master,4022401.36,48587.0,111.0,0,Personal Auto,SUV,532.8
Central,Female,High School or Below,270148.83,76310.0,67.0,0,Personal Auto,Two-Door Car,321.6
West Region,Male,Bachelor,371243.05,73205.0,92.0,0,Personal Auto,Four-Door Car,37.299865
North West,Female,College,2185084.0,51056.0,78.0,0,Personal Auto,Four-Door Car,95.816516
West Region,Male,College,784016.58,58414.0,210.0,2,Personal Auto,Luxury Vehicle,1008.0
West Region,Female,Bachelor,823703.79,23940.0,107.0,0,Personal Auto,SUV,513.6
West Region,Female,High School or Below,224347.39,0.0,62.0,0,Personal Auto,Four-Door Car,446.4
West Region,Male,Bachelor,843446.41,44216.0,71.0,0,Personal Auto,Four-Door Car,72.205362
West Region,Male,High School or Below,222707.28,27972.0,61.0,0,Corporate Auto,Four-Door Car,292.8
Central,Female,High School or Below,517002.6,0.0,69.0,0,Personal Auto,Four-Door Car,331.2
West Region,Female,Master,264144.61,29305.0,66.0,0,Personal Auto,Four-Door Car,475.2
West Region,Female,College,279068.3,53882.0,69.0,0,Personal Auto,Four-Door Car,331.2
North West,Male,College,274512.98,91757.0,69.0,1,Personal Auto,Four-Door Car,331.2
West Region,Female,Bachelor,757953.27,33906.0,64.0,0,Personal Auto,Two-Door Car,401.592109
North West,Male,Bachelor,1097878.03,68158.0,139.0,1,Personal Auto,SUV,253.183568
West Region,Male,College,825506.01,0.0,134.0,3,Personal Auto,SUV,643.2
North West,Male,College,474773.46,42165.0,123.0,0,Corporate Auto,SUV,799.673766
East,Male,College,354090.43,0.0,101.0,0,Personal Auto,SUV,727.2
West Region,Male,Doctor,343613.43,30817.0,88.0,0,Personal Auto,Four-Door Car,91.834668
West Region,Male,Bachelor,258218.53,68074.0,65.0,0,Personal Auto,Four-Door Car,27.987867
East,Female,College,1166509.78,84978.0,35353.0,1,Corporate Auto,Four-Door Car,166.77296
West Region,Female,Master,739628.37,71135.0,92.0,1,Personal Auto,Four-Door Car,270.563995
West Region,Female,College,433079.98,0.0,61.0,0,Personal Auto,Two-Door Car,292.8
North West,Male,Master,907576.82,37722.0,116.0,0,Personal Auto,Sports Car,158.077504
Central,Female,Bachelor,1463545.16,0.0,139.0,0,Personal Auto,SUV,667.2
East,,High School or Below,856476.82,95697.0,107.0,0,Personal Auto,Sports Car,178.006524
West Region,Female,College,1156568.75,64642.0,96.0,0,Personal Auto,Four-Door Car,404.265696
North West,Female,College,277104.5,50071.0,71.0,0,Personal Auto,Two-Door Car,18.918935
North West,Male,High School or Below,850712.88,46754.0,106.0,1,Personal Auto,SUV,513.818403
West Region,Male,College,758211.38,64801.0,64.0,0,Corporate Auto,Four-Door Car,268.471802
Central,Male,Bachelor,332309.25,70410.0,83.0,0,Personal Auto,Four-Door Car,131.828507
Central,Female,High School or Below,523433.17,66957.0,131.0,1,Personal Auto,SUV,628.8
Central,Female,High School or Below,2470959.96,24213.0,78.0,1,Personal Auto,Four-Door Car,374.4
East,Female,College,1778627.78,99790.0,6464.0,0,Personal Auto,Four-Door Car,178.986788
North West,Male,Master,255122.67,79751.0,63.0,0,Personal Auto,Two-Door Car,392.235698
Central,Male,High School or Below,724771.37,86122.0,182.0,1,Personal Auto,Luxury Vehicle,873.6
Central,Male,Bachelor,453884.78,82297.0,116.0,0,Personal Auto,Sports Car,0.382107
East,Male,College,3164210.46,89057.0,98.0,0,Corporate Auto,Two-Door Car,187.363583
West Region,Male,High School or Below,873042.2,43259.0,73.0,0,Personal Auto,Four-Door Car,350.4
North West,Male,College,833273.06,0.0,79.0,0,Personal Auto,Four-Door Car,379.2
West Region,Male,College,235774.7,25064.0,62.0,0,Personal Auto,Four-Door Car,297.6
Central,Male,Master,463716.4,25816.0,119.0,0,Personal Auto,Sports Car,571.2
West Region,Male,Bachelor,535719.27,0.0,73.0,0,Personal Auto,Four-Door Car,350.853987
North West,Female,College,539197.1,41662.0,69.0,0,Corporate Auto,Four-Door Car,217.973168
Central,Male,Bachelor,369414.05,96170.0,92.0,0,Personal Auto,Four-Door Car,441.6
Central,Female,High School or Below,504041.24,46072.0,64.0,0,Personal Auto,Four-Door Car,25.934064
Central,Female,High School or Below,2749542.19,37931.0,99.0,0,Personal Auto,Four-Door Car,475.2
North West,Male,High School or Below,484228.5,35127.0,62.0,0,Personal Auto,Four-Door Car,297.6
East,Female,High School or Below,2738281.89,45473.0,76.0,0,Special Auto,Two-Door Car,188.938397
Central,Female,College,522710.19,93087.0,131.0,3,Corporate Auto,Sports Car,628.8
Central,Male,High School or Below,259009.6,22398.0,67.0,2,Personal Auto,Four-Door Car,321.6
West Region,Male,High School or Below,1053607.8,92983.0,87.0,1,Corporate Auto,Four-Door Car,153.205591
Central,Male,Bachelor,858127.87,27689.0,239.0,2,Personal Auto,Luxury Vehicle,2893.239678
West Region,Female,College,946311.33,69654.0,118.0,0,Corporate Auto,SUV,629.532731
West Region,Female,Bachelor,1344100.64,80744.0,111.0,0,Personal Auto,SUV,361.284757
West Region,Female,Bachelor,388650.48,0.0,112.0,0,Corporate Auto,SUV,1185.988301
Central,Female,High School or Below,678489.37,0.0,64.0,1,Personal Auto,Four-Door Car,460.8
Central,Male,Bachelor,2359468.02,76358.0,66.0,0,Special Auto,Four-Door Car,86.461582
North West,Male,Bachelor,253862.63,18608.0,71.0,0,Corporate Auto,Four-Door Car,340.8
West Region,Male,High School or Below,563994.2,73168.0,70.0,0,Personal Auto,Four-Door Car,425.800112
East,Male,Bachelor,1168137.43,70930.0,99.0,0,Personal Auto,Four-Door Car,190.43446
East,Female,High School or Below,2599775.0,62262.0,72.0,0,Corporate Auto,Four-Door Car,193.505325
Central,Female,Master,1377836.93,91474.0,113.0,0,Corporate Auto,Two-Door Car,24.087774
West Region,Female,Bachelor,492318.17,61469.0,63.0,5,Personal Auto,Four-Door Car,302.4
Central,Female,High School or Below,227233.54,16618.0,62.0,0,Special Auto,Four-Door Car,219.288706
West Region,Female,Bachelor,1489539.8,48081.0,188.0,0,Personal Auto,Luxury Vehicle,881.360959
North West,Male,Doctor,975604.5,67632.0,121.0,0,Personal Auto,Sports Car,26.951627
North West,Female,Bachelor,942297.41,34115.0,119.0,0,Personal Auto,SUV,466.122541
Central,Male,High School or Below,383735.76,23051.0,99.0,0,Personal Auto,Two-Door Car,475.2
West Region,Male,College,1095213.19,23748.0,99.0,0,Personal Auto,Four-Door Car,607.095655
Central,Female,College,815913.66,40589.0,69.0,0,Corporate Auto,Four-Door Car,331.2
West Region,Female,College,1948049.98,50809.0,83.0,0,Personal Auto,Four-Door Car,290.381707
Central,Female,High School or Below,391936.67,66676.0,97.0,0,Personal Auto,Four-Door Car,558.099357
Central,Female,Bachelor,798514.21,52339.0,70.0,3,Corporate Auto,Four-Door Car,336.0
North West,Male,Bachelor,1216874.49,14973.0,115.0,0,Personal Auto,SUV,828.0
Central,Female,High School or Below,584932.15,0.0,83.0,0,Corporate Auto,Four-Door Car,540.514115
Central,Female,Bachelor,508583.66,31546.0,65.0,0,Personal Auto,Four-Door Car,100.049832
West Region,Female,College,290393.98,67763.0,73.0,1,Personal Auto,Four-Door Car,59.861963
East,Female,College,627317.34,20836.0,79.0,0,Corporate Auto,Four-Door Car,193.57032
East,Male,College,1832141.9,88592.0,76.0,0,Corporate Auto,Four-Door Car,199.79727
North West,Female,College,517870.42,66943.0,65.0,1,Special Auto,Four-Door Car,53.084753
Central,Female,High School or Below,1402435.84,81872.0,115.0,0,Special Auto,Four-Door Car,256.43803
East,Female,College,530943.59,22404.0,70.0,1,Personal Auto,Four-Door Car,211.136067
West Region,Female,High School or Below,494980.38,21342.0,62.0,0,Personal Auto,Four-Door Car,74.350893
West Region,Male,Bachelor,859566.53,34621.0,108.0,1,Corporate Auto,SUV,621.464468
North West,Male,College,2295189.2,62396.0,64.0,0,Personal Auto,Four-Door Car,307.2
North West,Male,High School or Below,379213.03,97212.0,93.0,0,Personal Auto,Two-Door Car,360.05589
Central,Female,Bachelor,275574.8,49648.0,70.0,0,Personal Auto,Four-Door Car,65.954813
Central,Male,College,488033.96,97984.0,61.0,1,Personal Auto,Four-Door Car,407.450118
West Region,Female,College,905190.53,26308.0,114.0,0,Corporate Auto,SUV,547.2
North West,Female,College,1011544.62,63528.0,256.0,0,Personal Auto,Luxury Vehicle,1228.8
Central,Male,College,826907.54,20225.0,114.0,1,Special Auto,SUV,547.2
Central,Male,High School or Below,807165.3,0.0,112.0,0,Personal Auto,SUV,806.4
North West,Female,High School or Below,772699.36,87620.0,64.0,0,Personal Auto,Four-Door Car,24.063693
West Region,Female,Bachelor,831113.59,0.0,72.0,0,Corporate Auto,Four-Door Car,311.329282
Central,Female,Master,257402.04,34990.0,65.0,0,Personal Auto,Four-Door Car,42.689135
North West,Male,Bachelor,572732.71,99934.0,71.0,0,Special Auto,Four-Door Car,460.323855
East,Male,Master,367914.21,60804.0,92.0,0,Personal Auto,Four-Door Car,213.225001
North West,Male,Bachelor,274451.96,94648.0,69.0,0,Personal Auto,Four-Door Car,331.2
West Region,Female,High School or Below,563674.03,24516.0,71.0,0,Personal Auto,Four-Door Car,300.607591
Central,Male,Bachelor,1687038.82,61063.0,85.0,0,Personal Auto,Four-Door Car,262.504882
West Region,Male,Master,273800.2,0.0,74.0,0,Personal Auto,Two-Door Car,263.365432
North West,Male,Bachelor,464470.05,0.0,64.0,0,Corporate Auto,Four-Door Car,307.2
West Region,Female,High School or Below,474668.65,15169.0,63.0,0,Personal Auto,Four-Door Car,302.4
Central,Male,College,1687432.82,55390.0,71.0,0,Corporate Auto,Two-Door Car,256.268091
North West,Female,Bachelor,238760.61,27592.0,62.0,0,Personal Auto,Four-Door Car,297.6
East,Female,College,446533.57,61846.0,112.0,0,Personal Auto,SUV,215.8182
Central,Female,High School or Below,459162.59,83297.0,113.0,0,Personal Auto,SUV,542.4
Central,Female,College,1309258.58,0.0,188.0,0,Special Auto,Luxury Vehicle,1353.6
North West,Male,Bachelor,911226.66,0.0,90.0,0,Personal Auto,Four-Door Car,432.0
West Region,Female,High School or Below,416516.66,55897.0,104.0,0,Personal Auto,Four-Door Car,499.2
Central,Male,Bachelor,265998.06,21297.0,71.0,0,Personal Auto,Four-Door Car,45.507952
Central,Female,Master,1198659.21,87560.0,98.0,1,Personal Auto,Two-Door Car,470.4
North West,Female,High School or Below,289873.27,0.0,96.0,4,Personal Auto,Four-Door Car,691.2
North West,Female,Bachelor,289424.39,0.0,85.0,0,Personal Auto,Four-Door Car,408.0
Central,Female,Doctor,350045.44,89398.0,86.0,0,Personal Auto,Four-Door Car,82.409922
West Region,Female,College,262180.86,36843.0,68.0,3,Corporate Auto,Four-Door Car,357.642982
North West,Female,College,1022180.5,0.0,134.0,0,Personal Auto,SUV,643.2
West Region,Male,High School or Below,257827.1,34946.0,65.0,0,Personal Auto,Two-Door Car,420.35698
Central,Female,College,624259.57,75680.0,78.0,0,Personal Auto,Four-Door Car,136.787725
Central,Female,Doctor,522028.1,0.0,69.0,0,Personal Auto,Four-Door Car,331.2
East,Female,College,313643.21,49532.0,79.0,1,Personal Auto,Four-Door Car,220.186677
Central,Male,Bachelor,452536.58,10269.0,65.0,0,Personal Auto,Two-Door Car,170.798204
West Region,Male,College,497035.73,49714.0,63.0,3,Personal Auto,Four-Door Car,266.165535
West Region,Male,High School or Below,1546778.9,77517.0,129.0,0,Corporate Auto,SUV,98.921782
North West,Male,High School or Below,583889.92,81082.0,73.0,0,Personal Auto,Four-Door Car,281.295903
North West,Female,Bachelor,1065688.2,72540.0,88.0,0,Corporate Auto,Two-Door Car,631.743039
North West,Female,High School or Below,228961.87,0.0,65.0,0,Personal Auto,Four-Door Car,468.0
West Region,Male,High School or Below,543980.42,61546.0,68.0,0,Corporate Auto,Two-Door Car,29.209521
West Region,Female,Master,795615.01,44818.0,67.0,1,Personal Auto,Two-Door Car,136.883999
Central,Male,Bachelor,445811.34,17622.0,65.0,1,Personal Auto,Four-Door Car,312.0
North West,Female,College,255505.15,0.0,72.0,0,Personal Auto,Four-Door Car,518.4
West Region,Male,Bachelor,330799.9,79797.0,84.0,0,Corporate Auto,Two-Door Car,31.755601
East,Female,College,845905.32,92717.0,70.0,0,Personal Auto,Two-Door Car,224.27582
North West,Female,College,1335012.09,28919.0,173.0,0,Personal Auto,SUV,830.4
Central,Male,College,493122.13,0.0,68.0,0,Personal Auto,Four-Door Car,480.159011
Central,Male,Bachelor,777683.52,63568.0,65.0,0,Corporate Auto,Two-Door Car,390.792553
Central,Female,College,255367.22,73935.0,64.0,1,Corporate Auto,Four-Door Car,72.071195
Central,Female,High School or Below,487646.97,0.0,66.0,0,Corporate Auto,Two-Door Car,316.8
North West,Female,Bachelor,903430.58,18846.0,115.0,0,Personal Auto,SUV,552.0
Central,Female,High School or Below,810591.08,38893.0,103.0,0,Personal Auto,SUV,41.965252
North West,Male,High School or Below,561968.91,0.0,153.0,0,Special Auto,SUV,1027.000029
West Region,Male,Bachelor,1572713.06,84824.0,196.0,0,Corporate Auto,SUV,319.820747
West Region,Female,High School or Below,661801.64,20068.0,86.0,0,Corporate Auto,Four-Door Car,411.011162
North West,Male,Doctor,467004.8,0.0,125.0,0,Corporate Auto,SUV,600.0
Central,Female,High School or Below,1016936.98,0.0,135.0,0,Personal Auto,Sports Car,648.0
West Region,Male,Bachelor,832307.4,97245.0,70.0,0,Personal Auto,Four-Door Car,4.110585
West Region,Female,College,241776.0,51808.0,61.0,1,Personal Auto,Four-Door Car,351.149904
West Region,Male,Bachelor,804487.24,71391.0,67.0,0,Personal Auto,Four-Door Car,284.000172
North West,Male,High School or Below,532572.45,0.0,73.0,0,Personal Auto,Two-Door Car,496.474767
Central,Male,Bachelor,694752.4,0.0,100.0,0,Personal Auto,SUV,925.137143
North West,Female,College,584741.52,23496.0,77.0,0,Special Auto,Four-Door Car,13.164097
East,Male,High School or Below,182071.51761459207,55561.0,63.0,0,Personal Auto,Four-Door Car,227.872071
Central,Female,College,472478.61,23986.0,119.0,0,Corporate Auto,SUV,463.335061
Central,Female,Master,279022.8,22974.0,71.0,0,Personal Auto,Four-Door Car,180.667969
North West,Female,High School or Below,2153133.28,0.0,101.0,0,Personal Auto,Four-Door Car,484.8
Central,Male,Bachelor,1262283.27,61844.0,106.0,0,Personal Auto,Sports Car,508.8
Central,Male,Doctor,2017196.15,24804.0,73.0,0,Personal Auto,Two-Door Car,350.4
West Region,Female,Bachelor,1646436.59,27760.0,104.0,0,Personal Auto,SUV,302.764283
North West,Female,High School or Below,559538.99,74454.0,71.0,0,Personal Auto,Four-Door Car,340.8
North West,Female,Master,417068.73,29462.0,107.0,1,Personal Auto,SUV,513.6
Central,Female,College,266544.71,52266.0,68.0,0,Corporate Auto,Two-Door Car,141.922839
North West,Male,Bachelor,709891.41,0.0,70.0,0,Personal Auto,Two-Door Car,349.783046
West Region,Male,Doctor,397134.51,23599.0,103.0,0,Corporate Auto,SUV,494.4
North West,Male,Bachelor,552821.28,36088.0,72.0,0,Personal Auto,Four-Door Car,345.6
West Region,Female,High School or Below,833899.58,70534.0,104.0,0,Personal Auto,Four-Door Car,54.065538
North West,Male,College,3844585.59,27398.0,125.0,1,Personal Auto,SUV,600.0
Central,Male,Bachelor,544855.52,85296.0,68.0,0,Personal Auto,Four-Door Car,342.515136
Central,Male,High School or Below,1080806.6,31063.0,92.0,0,Personal Auto,Four-Door Car,441.6
West Region,Male,Bachelor,618509.65,0.0,92.0,0,Personal Auto,Two-Door Car,1027.177255
Central,Male,High School or Below,320822.59,52367.0,81.0,0,Personal Auto,Four-Door Car,275.989978
Central,Male,College,548010.41,58651.0,71.0,0,Personal Auto,Four-Door Car,472.599683
Central,Female,College,2298615.39,84831.0,192.0,0,Special Auto,Sports Car,1336.931716
North West,Male,Bachelor,1310792.59,49088.0,114.0,1,Corporate Auto,SUV,547.2
West Region,Female,College,746292.63,70263.0,93.0,0,Corporate Auto,Two-Door Car,7.345946
North West,Female,Doctor,1146399.1,45354.0,285.0,0,Personal Auto,Luxury Vehicle,540.141566
Central,Male,High School or Below,723613.25,0.0,63.0,0,Personal Auto,Four-Door Car,383.363758
West Region,Female,Bachelor,623268.79,28334.0,83.0,0,Special Auto,Four-Door Car,537.765151
North West,Female,Bachelor,2839332.99,38772.0,90.0,0,Personal Auto,Four-Door Car,321.873474
North West,Female,College,374675.16,41479.0,94.0,1,Personal Auto,Two-Door Car,19.575683
West Region,Male,Bachelor,2156933.73,23909.0,119.0,0,Personal Auto,SUV,571.2
West Region,Male,College,501208.37,48328.0,63.0,0,Personal Auto,Two-Door Car,108.138715
West Region,Male,High School or Below,337185.84,86689.0,85.0,0,Corporate Auto,Two-Door Car,408.0
West Region,Male,Bachelor,386477.68,24204.0,99.0,1,Personal Auto,Four-Door Car,707.303416
North West,Male,College,414571.19,25943.0,110.0,0,Corporate Auto,Two-Door Car,1067.333126
West Region,Male,High School or Below,515607.27,0.0,73.0,0,Personal Auto,Four-Door Car,807.947292
West Region,Male,College,366737.5,62375.0,92.0,0,Personal Auto,Two-Door Car,618.630955
West Region,Female,High School or Below,783568.35,0.0,71.0,0,Corporate Auto,Four-Door Car,404.272806
Central,Male,Bachelor,1456726.84,0.0,148.0,0,Personal Auto,SUV,710.4
North West,Male,Bachelor,1017133.9,70200.0,65.0,0,Corporate Auto,Four-Door Car,312.0
Central,Female,Bachelor,413577.52,0.0,112.0,0,Special Auto,Four-Door Car,707.977614
North West,Female,College,551149.11,79027.0,70.0,0,Corporate Auto,Four-Door Car,336.0
East,Female,High School or Below,1131424.39,62935.0,141.0,0,Personal Auto,Sports Car,232.242326
West Region,Female,High School or Below,541461.73,26893.0,68.0,0,Personal Auto,Four-Door Car,68.226001
